id,time_board,time_offboard,onboard_lat,onboard_lon,offboard_lat,offboard_lon,date_board,date_offboard
1380,23:52:19,23:52:24,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1381,23:52:20,23:52:27,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1382,23:52:21,23:52:25,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1383,23:53:00,23:53:17,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1384,23:53:30,23:53:34,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1385,23:53:31,23:53:33,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1386,23:53:32,23:53:35,37.3501,-121.939,37.3501,-121.939,2017-03-07,2017-03-07
1400,00:14:20,00:18:09,37.3502,-121.939,37.3488,-121.93799999999999,2017-03-08,2017-03-08
1423,00:33:12,00:46:54,37.3501,-121.939,37.3498,-121.93799999999999,2017-03-08,2017-03-08
1424,00:33:13,00:46:55,37.3501,-121.939,37.3498,-121.93799999999999,2017-03-08,2017-03-08
1527,19:12:51,19:33:21,37.3501,-121.939,37.3496,-121.941,2017-03-08,2017-03-08
1528,19:41:33,19:43:34,37.3501,-121.939,37.3502,-121.939,2017-03-08,2017-03-08
1529,19:41:34,19:43:28,37.3501,-121.939,37.3502,-121.939,2017-03-08,2017-03-08
1540,21:52:04,21:54:38,37.35,-121.939,37.3499,-121.93799999999999,2017-03-08,2017-03-08
1541,21:52:05,21:54:39,37.35,-121.939,37.3499,-121.93799999999999,2017-03-08,2017-03-08
1542,21:56:56,22:06:44,37.3502,-121.939,37.3501,-121.939,2017-03-08,2017-03-08
1543,21:56:56,22:07:11,37.3502,-121.939,37.3501,-121.939,2017-03-08,2017-03-08
1566,23:00:18,23:05:29,37.3489,-121.93700000000001,37.349000000000004,-121.93799999999999,2017-03-08,2017-03-08
1632,00:13:47,00:19:10,37.3501,-121.939,37.3501,-121.939,2017-03-09,2017-03-09
1633,00:51:20,00:55:52,37.349000000000004,-121.941,37.3484,-121.941,2017-03-09,2017-03-09
1635,01:01:50,01:06:33,37.3501,-121.939,37.3511,-121.93799999999999,2017-03-09,2017-03-09
1636,23:04:28,23:10:46,37.3501,-121.939,37.3484,-121.941,2017-03-09,2017-03-09
1637,23:28:51,23:51:10,37.3492,-121.941,37.3483,-121.941,2017-03-09,2017-03-09
1638,23:51:09,23:58:16,37.3483,-121.941,37.3502,-121.939,2017-03-09,2017-03-09
1639,23:51:09,23:58:17,37.3483,-121.941,37.3502,-121.939,2017-03-09,2017-03-09
1642,20:52:04,21:02:49,37.3501,-121.939,37.3501,-121.939,2017-03-10,2017-03-10
1643,20:52:05,20:56:23,37.3501,-121.939,37.3498,-121.935,2017-03-10,2017-03-10
1644,23:39:03,23:39:08,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1645,23:39:04,23:39:09,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1646,23:39:05,23:39:10,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1647,23:39:06,23:39:10,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1648,23:43:31,23:43:33,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1649,23:43:40,23:43:45,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1650,23:43:41,23:43:43,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1651,23:43:42,23:43:43,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1652,23:43:19,23:43:22,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1653,23:43:19,23:43:22,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1654,23:43:20,23:43:23,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1655,23:43:21,23:43:23,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1656,23:43:24,23:43:28,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1657,23:43:25,23:43:28,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1658,23:43:25,23:43:29,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1659,23:43:30,23:43:32,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1660,23:43:26,23:43:29,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1661,23:43:31,23:43:33,37.3501,-121.939,37.3501,-121.939,2017-03-17,2017-03-17
1662,23:47:17,23:47:20,37.3496,-121.941,37.3496,-121.941,2017-03-17,2017-03-17
1663,23:47:18,23:50:06,37.3496,-121.941,37.3483,-121.941,2017-03-17,2017-03-17
1664,23:47:18,23:50:07,37.3496,-121.941,37.3483,-121.941,2017-03-17,2017-03-17
1725,18:51:38,18:51:39,37.3484,-121.941,37.3484,-121.941,2017-03-24,2017-03-24
1726,18:51:39,18:51:41,37.3484,-121.941,37.3484,-121.941,2017-03-24,2017-03-24
1727,18:51:40,18:51:41,37.3484,-121.941,37.3484,-121.941,2017-03-24,2017-03-24
1728,18:51:42,18:51:42,37.3484,-121.941,37.3484,-121.941,2017-03-24,2017-03-24
1791,22:27:18,22:29:45,37.3496,-121.941,37.3481,-121.94,2017-04-06,2017-04-06
1792,00:01:53,00:06:15,37.3484,-121.941,37.3505,-121.94200000000001,2017-04-07,2017-04-07
1803,19:22:20,19:22:21,37.3489,-121.941,37.3489,-121.941,2017-04-06,2017-04-06
1804,19:22:21,19:25:16,37.3489,-121.941,37.3502,-121.939,2017-04-06,2017-04-06
1805,19:44:33,19:48:52,37.3495,-121.941,37.3511,-121.93799999999999,2017-04-06,2017-04-06
1806,20:59:47,21:03:24,37.3501,-121.939,37.3499,-121.941,2017-04-06,2017-04-06
1807,22:09:11,22:14:02,37.3484,-121.941,37.3502,-121.939,2017-04-06,2017-04-06
1808,22:09:12,22:14:02,37.3484,-121.941,37.3502,-121.939,2017-04-06,2017-04-06
1809,22:09:12,22:14:03,37.3484,-121.941,37.3502,-121.939,2017-04-06,2017-04-06
1810,22:15:50,22:19:13,37.3498,-121.94,37.3501,-121.939,2017-04-06,2017-04-06
1811,22:15:51,22:19:13,37.3498,-121.94,37.3501,-121.939,2017-04-06,2017-04-06
1812,22:15:51,22:19:15,37.3498,-121.94,37.3501,-121.939,2017-04-06,2017-04-06
